site_name,district,equipment_type,manufacturer,model,measured_at,traffic_mb,latency_ms,packet_loss_pct,signal_strength_dbm,availability_pct
Entebbe Central,Wakiso,Router,Cisco,ASR1001-X,2026-08-28 08:00:00,15240.50,24.30,0.40,-58.20,99.80
Entebbe Central,Wakiso,Router,Cisco,ASR1001-X,2026-08-28 09:00:00,16820.75,27.10,0.60,-59.10,99.70
Entebbe Central,Wakiso,Radio,Ericsson,MINI-LINK 6352,2026-08-28 08:00:00,8240.30,18.40,0.20,-52.40,99.90
Entebbe Central,Wakiso,Radio,Ericsson,MINI-LINK 6352,2026-08-28 09:00:00,9015.80,21.20,0.30,-53.10,99.80
Mbale East,Mbale,Router,Cisco,ASR1001-X,2026-08-28 08:00:00,11240.60,35.80,1.20,-63.50,98.90
Mbale East,Mbale,Router,Cisco,ASR1001-X,2026-08-28 09:00:00,12450.20,39.40,1.80,-64.20,98.50
Mbale East,Mbale,Switch,Huawei,S5735,2026-08-28 08:00:00,9850.40,12.60,0.30,-45.20,99.70
Mbale East,Mbale,Switch,Huawei,S5735,2026-08-28 09:00:00,10240.70,14.80,0.40,-46.10,99.60
Masaka South,Masaka,Radio,Ericsson,MINI-LINK 6352,2026-08-28 08:00:00,7350.80,42.50,2.40,-69.30,97.80
Masaka South,Masaka,Radio,Ericsson,MINI-LINK 6352,2026-08-28 09:00:00,7680.40,48.20,3.10,-70.40,96.90
Arua North,Arua,Router,Cisco,ASR1001-X,2026-08-28 08:00:00,6420.30,55.60,4.20,-72.10,96.40
Arua North,Arua,Router,Cisco,ASR1001-X,2026-08-28 09:00:00,6180.90,61.30,5.10,-73.50,95.80
Kabale Rural,Kabale,Radio,Nokia,FlexiPacket,2026-08-28 08:00:00,4280.50,72.40,6.30,-78.20,94.70
Kabale Rural,Kabale,Radio,Nokia,FlexiPacket,2026-08-28 09:00:00,3910.20,81.70,7.80,-80.10,93.60
Soroti Central,Soroti,Router,Cisco,ISR4331,2026-08-28 08:00:00,8760.40,31.20,0.90,-61.40,98.70
Soroti Central,Soroti,Router,Cisco,ISR4331,2026-08-28 09:00:00,9240.80,34.50,1.10,-62.20,98.40
